Stage Name,Knockout Stage,Match Date,Match Time,Home Team Id,Home Team Name,Away Team Id,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Key ID,Tournament Name,Award Id,Award Name,Shared,Player Id,Family Name,Give Name,Team Id,Team Name,Team Code
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,118,2014 FIFA World Cup,A-1,Golden Ball,0,P-03429,Messi,Lionel,T-03,Argentina,ARG
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,119,2014 FIFA World Cup,A-2,Silver Ball,0,P-05090,Müller,Thomas,T-29,Germany,DEU
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,120,2014 FIFA World Cup,A-3,Bronze Ball,0,P-04780,Robben,Arjen,T-46,Netherlands,NLD
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,121,2014 FIFA World Cup,A-4,Golden Boot,0,P-03168,Rodríguez,James,T-15,Colombia,COL
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,122,2014 FIFA World Cup,A-5,Silver Boot,0,P-05090,Müller,Thomas,T-29,Germany,DEU
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,123,2014 FIFA World Cup,A-6,Bronze Boot,0,P-04984,Neymar,not applicable,T-09,Brazil,BRA
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,124,2014 FIFA World Cup,A-7,Golden Glove,0,P-09934,Neuer,Manuel,T-29,Germany,DEU
group stage,0,6/12/2014,17:00,T-09,Brazil,T-17,Croatia,3,1,2,-2,125,2014 FIFA World Cup,A-8,Best Young Player,0,P-06623,Pogba,Paul,T-28,France,FRA
group stage,0,6/13/2014,13:00,T-44,Mexico,T-11,Cameroon,1,0,1,-1,118,2014 FIFA World Cup,A-1,Golden Ball,0,P-03429,Messi,Lionel,T-03,Argentina,ARG
group stage,0,6/13/2014,13:00,T-44,Mexico,T-11,Cameroon,1,0,1,-1,119,2014 FIFA World Cup,A-2,Silver Ball,0,P-05090,Müller,Thomas,T-29,Germany,DEU
