Knockout Stage,Match Date,Match Time,Home Team Id,Home Team Name,Away Team Id,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin
0,7/13/1930,15:00,T-28,France,T-44,Mexico,4,1,3,-3
0,7/13/1930,15:00,T-80,United States,T-06,Belgium,3,0,3,-3
0,7/14/1930,12:45,T-84,Yugoslavia,T-09,Brazil,2,1,1,-1
0,7/14/1930,14:50,T-59,Romania,T-54,Peru,3,1,2,-2
0,7/15/1930,16:00,T-03,Argentina,T-28,France,1,0,1,-1
0,7/16/1930,14:45,T-13,Chile,T-44,Mexico,3,0,3,-3
0,7/17/1930,12:45,T-84,Yugoslavia,T-07,Bolivia,4,0,4,-4
0,7/17/1930,14:45,T-80,United States,T-53,Paraguay,3,0,3,-3
0,7/18/1930,14:30,T-81,Uruguay,T-54,Peru,1,0,1,-1
0,7/19/1930,12:50,T-13,Chile,T-28,France,1,0,1,-1
0,7/19/1930,15:00,T-03,Argentina,T-44,Mexico,6,3,3,-3
0,7/20/1930,13:00,T-09,Brazil,T-07,Bolivia,4,0,4,-4
0,7/20/1930,15:00,T-53,Paraguay,T-06,Belgium,1,0,1,-1
0,7/21/1930,14:50,T-81,Uruguay,T-59,Romania,4,0,4,-4
0,7/22/1930,14:45,T-03,Argentina,T-13,Chile,3,1,2,-2
1,7/26/1930,14:45,T-03,Argentina,T-80,United States,6,1,5,-5
1,7/27/1930,14:45,T-81,Uruguay,T-84,Yugoslavia,6,1,5,-5
1,7/30/1930,14:15,T-81,Uruguay,T-03,Argentina,4,2,2,-2
1,5/27/1934,16:00,T-05,Austria,T-28,France,3,2,1,-1
1,5/27/1934,16:00,T-20,Czechoslovakia,T-59,Romania,2,1,1,-1
1,5/27/1934,16:00,T-29,Germany,T-06,Belgium,5,2,3,-3
1,5/27/1934,16:00,T-34,Hungary,T-25,Egypt,4,2,2,-2
1,5/27/1934,16:00,T-39,Italy,T-80,United States,7,1,6,-6
1,5/27/1934,16:00,T-71,Spain,T-09,Brazil,3,1,2,-2
1,5/27/1934,16:00,T-72,Sweden,T-03,Argentina,3,2,1,-1
1,5/27/1934,16:00,T-73,Switzerland,T-46,Netherlands,3,2,1,-1
1,5/31/1934,16:30,T-05,Austria,T-34,Hungary,2,1,1,-1
1,5/31/1934,16:30,T-20,Czechoslovakia,T-73,Switzerland,3,2,1,-1
1,5/31/1934,16:30,T-29,Germany,T-72,Sweden,2,1,1,-1
1,5/31/1934,16:30,T-39,Italy,T-71,Spain,1,1,0,0
1,6/1/1934,16:30,T-39,Italy,T-71,Spain,1,0,1,-1
1,6/3/1934,16:30,T-20,Czechoslovakia,T-29,Germany,3,1,2,-2
1,6/3/1934,16:30,T-39,Italy,T-05,Austria,1,0,1,-1
1,6/7/1934,18:00,T-29,Germany,T-05,Austria,3,2,1,-1
1,6/10/1934,17:00,T-39,Italy,T-20,Czechoslovakia,2,1,1,-1
1,6/4/1938,17:00,T-73,Switzerland,T-29,Germany,1,1,0,0
1,6/5/1938,17:00,T-18,Cuba,T-59,Romania,3,3,0,0
1,6/5/1938,17:00,T-28,France,T-06,Belgium,3,1,2,-2
1,6/5/1938,17:00,T-34,Hungary,T-22,Dutch East Indies,6,0,6,-6
1,6/5/1938,17:00,T-39,Italy,T-51,Norway,2,1,1,-1
1,6/5/1938,17:30,T-09,Brazil,T-55,Poland,6,5,1,-1
1,6/5/1938,18:30,T-20,Czechoslovakia,T-46,Netherlands,3,0,3,-3
1,6/9/1938,18:00,T-18,Cuba,T-59,Romania,2,1,1,-1
1,6/9/1938,18:00,T-73,Switzerland,T-29,Germany,4,2,2,-2
1,6/12/1938,17:00,T-09,Brazil,T-20,Czechoslovakia,1,1,0,0
1,6/12/1938,17:00,T-34,Hungary,T-73,Switzerland,2,0,2,-2
1,6/12/1938,17:00,T-39,Italy,T-28,France,3,1,2,-2
1,6/12/1938,17:00,T-72,Sweden,T-18,Cuba,8,0,8,-8
1,6/14/1938,18:00,T-09,Brazil,T-20,Czechoslovakia,2,1,1,-1
1,6/16/1938,18:00,T-34,Hungary,T-72,Sweden,5,1,4,-4
1,6/16/1938,18:00,T-39,Italy,T-09,Brazil,2,1,1,-1
1,6/19/1938,17:00,T-09,Brazil,T-72,Sweden,4,2,2,-2
1,6/19/1938,17:00,T-39,Italy,T-34,Hungary,4,2,2,-2
0,6/24/1950,15:00,T-09,Brazil,T-44,Mexico,4,0,4,-4
0,6/25/1950,15:00,T-84,Yugoslavia,T-73,Switzerland,3,0,3,-3
0,6/25/1950,15:00,T-27,England,T-13,Chile,2,0,2,-2
0,6/25/1950,15:00,T-71,Spain,T-80,United States,3,1,2,-2
